startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2019-08-10T19:30:00Z","2019-08-10T20:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-10T20:00:00Z","2019-08-10T20:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-10T20:30:00Z","2019-08-10T21:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-10T21:00:00Z","2019-08-10T21:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-10T21:30:00Z","2019-08-10T22:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-10T22:00:00Z","2019-08-10T22:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-10T22:30:00Z","2019-08-10T23:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-10T23:00:00Z","2019-08-10T23:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-10T23:30:00Z","2019-08-11T00:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T00:00:00Z","2019-08-11T00:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T00:30:00Z","2019-08-11T01:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T01:00:00Z","2019-08-11T01:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T01:30:00Z","2019-08-11T02:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T02:00:00Z","2019-08-11T02:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T02:30:00Z","2019-08-11T03:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T03:00:00Z","2019-08-11T03:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T03:30:00Z","2019-08-11T04:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T04:00:00Z","2019-08-11T04:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T04:30:00Z","2019-08-11T05:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T05:00:00Z","2019-08-11T05:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T05:30:00Z","2019-08-11T06:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T06:00:00Z","2019-08-11T06:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T06:30:00Z","2019-08-11T07:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T07:00:00Z","2019-08-11T07:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T07:30:00Z","2019-08-11T08:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T08:00:00Z","2019-08-11T08:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T08:30:00Z","2019-08-11T09:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T09:00:00Z","2019-08-11T09:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T09:30:00Z","2019-08-11T10:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T10:00:00Z","2019-08-11T10:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T10:30:00Z","2019-08-11T11:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T11:00:00Z","2019-08-11T11:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T11:30:00Z","2019-08-11T12:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T12:00:00Z","2019-08-11T12:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T12:30:00Z","2019-08-11T13:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T13:00:00Z","2019-08-11T13:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T13:30:00Z","2019-08-11T14:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T14:00:00Z","2019-08-11T14:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T14:30:00Z","2019-08-11T15:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T15:00:00Z","2019-08-11T15:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T15:30:00Z","2019-08-11T16:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T16:00:00Z","2019-08-11T16:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T16:30:00Z","2019-08-11T17:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T17:00:00Z","2019-08-11T17:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T17:30:00Z","2019-08-11T18:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T18:00:00Z","2019-08-11T18:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T18:30:00Z","2019-08-11T19:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T19:00:00Z","2019-08-11T19:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T19:30:00Z","2019-08-11T20:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T20:00:00Z","2019-08-11T20:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T20:30:00Z","2019-08-11T21:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T21:00:00Z","2019-08-11T21:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T21:30:00Z","2019-08-11T22:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T22:00:00Z","2019-08-11T22:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T22:30:00Z","2019-08-11T23:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T23:00:00Z","2019-08-11T23:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-11T23:30:00Z","2019-08-12T00:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T00:00:00Z","2019-08-12T00:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T00:30:00Z","2019-08-12T01:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T01:00:00Z","2019-08-12T01:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T01:30:00Z","2019-08-12T02:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T02:00:00Z","2019-08-12T02:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T02:30:00Z","2019-08-12T03:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T03:00:00Z","2019-08-12T03:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T03:30:00Z","2019-08-12T04:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T04:00:00Z","2019-08-12T04:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T04:30:00Z","2019-08-12T05:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T05:00:00Z","2019-08-12T05:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T05:30:00Z","2019-08-12T06:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T06:00:00Z","2019-08-12T06:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T06:30:00Z","2019-08-12T07:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T07:00:00Z","2019-08-12T07:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T07:30:00Z","2019-08-12T08:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T08:00:00Z","2019-08-12T08:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T08:30:00Z","2019-08-12T09:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T09:00:00Z","2019-08-12T09:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T09:30:00Z","2019-08-12T10:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T10:00:00Z","2019-08-12T10:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T10:30:00Z","2019-08-12T11:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T11:00:00Z","2019-08-12T11:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T11:30:00Z","2019-08-12T12:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T12:00:00Z","2019-08-12T12:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T12:30:00Z","2019-08-12T13:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T13:00:00Z","2019-08-12T13:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T13:30:00Z","2019-08-12T14:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T14:00:00Z","2019-08-12T14:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T14:30:00Z","2019-08-12T15:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T15:00:00Z","2019-08-12T15:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T15:30:00Z","2019-08-12T16:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T16:00:00Z","2019-08-12T16:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T16:30:00Z","2019-08-12T17:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T17:00:00Z","2019-08-12T17:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T17:30:00Z","2019-08-12T18:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T18:00:00Z","2019-08-12T18:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T18:30:00Z","2019-08-12T19:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T19:00:00Z","2019-08-12T19:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T19:30:00Z","2019-08-12T20:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T20:00:00Z","2019-08-12T20:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T20:30:00Z","2019-08-12T21:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T21:00:00Z","2019-08-12T21:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T21:30:00Z","2019-08-12T22:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T22:00:00Z","2019-08-12T22:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T22:30:00Z","2019-08-12T23:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T23:00:00Z","2019-08-12T23:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-12T23:30:00Z","2019-08-13T00:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T00:00:00Z","2019-08-13T00:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T00:30:00Z","2019-08-13T01:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T01:00:00Z","2019-08-13T01:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T01:30:00Z","2019-08-13T02:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T02:00:00Z","2019-08-13T02:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T02:30:00Z","2019-08-13T03:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T03:00:00Z","2019-08-13T03:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T03:30:00Z","2019-08-13T04:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T04:00:00Z","2019-08-13T04:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T04:30:00Z","2019-08-13T05:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T05:00:00Z","2019-08-13T05:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T05:30:00Z","2019-08-13T06:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T06:00:00Z","2019-08-13T06:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T06:30:00Z","2019-08-13T07:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T07:00:00Z","2019-08-13T07:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T07:30:00Z","2019-08-13T08:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T08:00:00Z","2019-08-13T08:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T08:30:00Z","2019-08-13T09:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T09:00:00Z","2019-08-13T09:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T09:30:00Z","2019-08-13T10:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T10:00:00Z","2019-08-13T10:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T10:30:00Z","2019-08-13T11:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T11:00:00Z","2019-08-13T11:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T11:30:00Z","2019-08-13T12:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T12:00:00Z","2019-08-13T12:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T12:30:00Z","2019-08-13T13:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T13:00:00Z","2019-08-13T13:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T13:30:00Z","2019-08-13T14:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T14:00:00Z","2019-08-13T14:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T14:30:00Z","2019-08-13T15:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T15:00:00Z","2019-08-13T15:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T15:30:00Z","2019-08-13T16:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T16:00:00Z","2019-08-13T16:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T16:30:00Z","2019-08-13T17:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T17:00:00Z","2019-08-13T17:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T17:30:00Z","2019-08-13T18:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T18:00:00Z","2019-08-13T18:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T18:30:00Z","2019-08-13T19:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T19:00:00Z","2019-08-13T19:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T19:30:00Z","2019-08-13T20:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T20:00:00Z","2019-08-13T20:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T20:30:00Z","2019-08-13T21:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T21:00:00Z","2019-08-13T21:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T21:30:00Z","2019-08-13T22:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T22:00:00Z","2019-08-13T22:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T22:30:00Z","2019-08-13T23:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T23:00:00Z","2019-08-13T23:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-13T23:30:00Z","2019-08-14T00:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T00:00:00Z","2019-08-14T00:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T00:30:00Z","2019-08-14T01:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T01:00:00Z","2019-08-14T01:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T01:30:00Z","2019-08-14T02:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T02:00:00Z","2019-08-14T02:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T02:30:00Z","2019-08-14T03:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T03:00:00Z","2019-08-14T03:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T03:30:00Z","2019-08-14T04:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T04:00:00Z","2019-08-14T04:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T04:30:00Z","2019-08-14T05:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T05:00:00Z","2019-08-14T05:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T05:30:00Z","2019-08-14T06:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T06:00:00Z","2019-08-14T06:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T06:30:00Z","2019-08-14T07:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T07:00:00Z","2019-08-14T07:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T07:30:00Z","2019-08-14T08:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T08:00:00Z","2019-08-14T08:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T08:30:00Z","2019-08-14T09:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T09:00:00Z","2019-08-14T09:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T09:30:00Z","2019-08-14T10:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T10:00:00Z","2019-08-14T10:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T10:30:00Z","2019-08-14T11:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T11:00:00Z","2019-08-14T11:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T11:30:00Z","2019-08-14T12:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T12:00:00Z","2019-08-14T12:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T12:30:00Z","2019-08-14T13:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T13:00:00Z","2019-08-14T13:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T13:30:00Z","2019-08-14T14:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T14:00:00Z","2019-08-14T14:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T14:30:00Z","2019-08-14T15:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T15:00:00Z","2019-08-14T15:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T15:30:00Z","2019-08-14T16:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T16:00:00Z","2019-08-14T16:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T16:30:00Z","2019-08-14T17:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T17:00:00Z","2019-08-14T17:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T17:30:00Z","2019-08-14T18:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T18:00:00Z","2019-08-14T18:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T18:30:00Z","2019-08-14T19:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T19:00:00Z","2019-08-14T19:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T19:30:00Z","2019-08-14T20:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T20:00:00Z","2019-08-14T20:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T20:30:00Z","2019-08-14T21:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T21:00:00Z","2019-08-14T21:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T21:30:00Z","2019-08-14T22:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T22:00:00Z","2019-08-14T22:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T22:30:00Z","2019-08-14T23:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T23:00:00Z","2019-08-14T23:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-14T23:30:00Z","2019-08-15T00:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T00:00:00Z","2019-08-15T00:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T00:30:00Z","2019-08-15T01:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T01:00:00Z","2019-08-15T01:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T01:30:00Z","2019-08-15T02:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T02:00:00Z","2019-08-15T02:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T02:30:00Z","2019-08-15T03:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T03:00:00Z","2019-08-15T03:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T03:30:00Z","2019-08-15T04:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T04:00:00Z","2019-08-15T04:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T04:30:00Z","2019-08-15T05:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T05:00:00Z","2019-08-15T05:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T05:30:00Z","2019-08-15T06:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T06:00:00Z","2019-08-15T06:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T06:30:00Z","2019-08-15T07:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T07:00:00Z","2019-08-15T07:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T07:30:00Z","2019-08-15T08:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T08:00:00Z","2019-08-15T08:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T08:30:00Z","2019-08-15T09:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T09:00:00Z","2019-08-15T09:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T09:30:00Z","2019-08-15T10:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T10:00:00Z","2019-08-15T10:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T10:30:00Z","2019-08-15T11:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T11:00:00Z","2019-08-15T11:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T11:30:00Z","2019-08-15T12:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T12:00:00Z","2019-08-15T12:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T12:30:00Z","2019-08-15T13:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T13:00:00Z","2019-08-15T13:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T13:30:00Z","2019-08-15T14:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T14:00:00Z","2019-08-15T14:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T14:30:00Z","2019-08-15T15:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T15:00:00Z","2019-08-15T15:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T15:30:00Z","2019-08-15T16:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T16:00:00Z","2019-08-15T16:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T16:30:00Z","2019-08-15T17:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T17:00:00Z","2019-08-15T17:30:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
"2019-08-15T17:30:00Z","2019-08-15T18:00:00Z",,,,,,,,1,,,,,,,,1,,,,,,,,1
